trees_file,optimization_file,log_likelihood,theta,T_WGD1,T_WGD1_true,T_WGD2,T_WGD2_true,nu_T1,nu_T1_true,nu_T2,nu_T2_true,M_tets,M_tets_true,M_T_D,M_T_D_true,theta_true
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep18.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep18.txt,-12619.67575405174,3975.4507042158416,0.001,0.2,0.5385176015906163,0.4,0.5992289397584496,0.6,0.3834569618546795,0.375,0.4676630484332845,0.75,0.589979859105569,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep19.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep19.txt,-12219.74168967099,4230.5991789412665,0.001,0.2,0.4618307873594737,0.4,0.6020701759181162,0.6,0.3342984947203721,0.375,0.8100330397297159,0.75,0.3861396398290498,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep2.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep2.txt,-12026.500103136144,3975.7353992302665,0.001,0.2,0.5095906080248789,0.4,0.6373779787953116,0.6,0.4213689998424494,0.375,0.6636140182143674,0.75,0.3124756009904725,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep20.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep20.txt,-12075.284513049985,4082.703469510812,0.001,0.2,0.4691563282655482,0.4,0.5926932485007218,0.6,0.4242050280508868,0.375,0.7698679855346785,0.75,0.2861252539452307,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep21.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep21.txt,-11867.54981047348,3967.1498662969657,0.001,0.2,0.4932138031068921,0.4,0.6023104562098652,0.6,0.413365384709948,0.375,0.7273048154498155,0.75,0.2142905429627772,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep22.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep22.txt,-12658.55951399296,3856.3200371146822,0.001,0.2,0.5913750754176204,0.4,0.607070074585536,0.6,0.384659321801627,0.375,0.629563681500623,0.75,0.5788961709201458,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep23.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep23.txt,-12375.661980751018,4069.0848599713577,0.001,0.2,0.5256657200905414,0.4,0.545150190128052,0.6,0.4100659002628518,0.375,0.9123770211577868,0.75,0.5029972838881933,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep24.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep24.txt,-12269.08508433324,4236.993943625345,0.001,0.2,0.4498955089237306,0.4,0.569128519048247,0.6,0.3856177702222019,0.375,0.6927481398044163,0.75,0.2597462376964094,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep3.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep3.txt,-11799.96817992004,3894.653546480602,0.001,0.2,0.4866394105225912,0.4,0.5779109063184141,0.6,0.4396067930294141,0.375,0.5142222223117427,0.75,0.3614874047984922,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep4.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep4.txt,-12323.45997070393,4053.943653738288,0.001,0.2,0.4864272937343806,0.4,0.541893456837748,0.6,0.4416107006266767,0.375,0.6206695974543404,0.75,0.22475394023337,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep5.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep5.txt,-12260.515223082632,4053.648564775426,0.001,0.2,0.5092473538765201,0.4,0.585710252549493,0.6,0.3173583271816235,0.375,0.5116927015287774,0.75,0.5804963093838987,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep6.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep6.txt,-12094.492656909428,4192.571074455032,0.001,0.2,0.4565721380398883,0.4,0.5883562544356641,0.6,0.3521172191859233,0.375,0.4637136232753008,0.75,0.3828512953864871,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep7.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep7.txt,-11446.9306608448,3990.1450199355977,0.001,0.2,0.515684533212233,0.4,0.595539431429505,0.6,0.4009849840553555,0.375,0.7433443372620943,0.75,0.3222058325303078,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep8.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep8.txt,-12600.997352580747,4167.990712988013,0.001,0.2,0.4557777048475817,0.4,0.5438662352086966,0.6,0.4266304614603732,0.375,0.5879293365111371,0.75,0.2001846526248636,0.35,
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep9.trees,/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/dadi_inference_results/recurrent_sims/topology1/Single_full/optimization_auto_triple_recurrent_master42_rep9.txt,-12170.931282884952,4070.994263349856,0.001,0.2,0.4679072447513671,0.4,0.5583114413505507,0.6,0.389054153760061,0.375,0.5269926617226012,0.75,0.3926370752671694,0.35,
