log_likelihood	T_WGD	nuWGD	nuF	misid	theta
-592.3085521664015	0.3148469354419443	0.3842010993318989	0.8988466375891324	0.006908795786953664	5255.808532209572
-592.5510928618401	0.14536510522638582	0.6439802419156496	0.8874284113347186	0.006926271194902653	5233.394922049524
-592.021024683674	0.4015945866646902	0.32900649915691715	0.8681922340994925	0.006323732273610994	5359.787195088271
-591.9760966568058	0.3695406397321915	0.3541995076619479	0.8796107925403539	0.006502396275958235	5300.8309816718565
-592.1837921252514	0.34687089593021847	0.3640470991363126	0.887531211837754	0.00621014135630746	5285.251272053926
-591.961683829345	0.3909683449949455	0.3328632892752579	0.8721673419574361	0.006540351432932324	5350.329799562956
-592.8452741165476	0.2645510497451479	0.43084226335431464	0.9062812399334362	0.00689567743011805	5224.015446562061
-594.9966488663262	0.5033986696540798	0.263803995727968	0.8188165300483605	0.005810023841251972	5623.893241529071
-592.395927907811	0.30734885746095475	0.38824978287540324	0.8990714034957411	0.007028465192084149	5257.354158445355
-593.1345861317459	0.2306803461125879	0.4700451962132511	0.9091838997093619	0.006925399573831317	5211.669018382528
