log_likelihood	T_WGD	nuWGD	nuF	misid	theta
-603.3443529297608	0.33462537883879656	0.3963319709384138	0.8594925697209099	0.007352892894467782	5280.899871393692
-607.2727724443578	0.14966832706984737	0.5574075467114815	0.8873585854093435	0.009150592501407833	5301.097969732435
-603.9685759743211	0.2131725376666886	0.5140011510300179	0.874727662201109	0.008445035985784425	5230.855948309702
-603.4418366162215	0.20341134817679585	0.5206707723937901	0.8743923313351096	0.0074722554084736634	5242.021962639533
-603.0894086058858	0.44071969193031446	0.3375355588009866	0.8332479722078648	0.007094252609655914	5378.646330733661
-603.2988387192418	0.3531791842420222	0.3841787553012905	0.8550058101455036	0.007376880151267725	5296.111458334982
-603.0922306381048	0.4376665361818779	0.33928095058351	0.833171406089608	0.007080184032476155	5377.034477456147
-603.2628545397778	0.4783523842848079	0.31592597114888243	0.8212722208869749	0.006405130353337345	5442.963738517259
-603.496958760427	0.36935006987333857	0.3757224950328628	0.8518250340028706	0.006664043210068175	5304.8105764151815
-603.507829967361	0.21284463047171973	0.4983313359268555	0.8739282890370137	0.007156636900190665	5256.398885753593
