log_likelihood	mu	sigma	theta
-657.8640855690815	0.2518885504956385	185.7721974855744	18870.773664754994
-657.8640855813175	0.25188939923153436	185.77057187331678	18870.773664754994
-657.864085567509	0.2518883736263378	185.77279716569245	18870.773664754994
-657.864085567928	0.2518885745579966	185.77227464885405	18870.773664754994
-657.8640855675962	0.25188838257799956	185.7728110994575	18870.773664754994
-657.8641243263173	0.2518665340616949	185.7815457911932	18870.773664754994
-657.8640855936922	0.2518897496128571	185.77036889426608	18870.773664754994
-657.8640855674794	0.25188839043701755	185.7727598476253	18870.773664754994
-657.8640855686772	0.2518887459389274	185.77200644210126	18870.773664754994
-657.8640857313239	0.25189081094223725	185.76626601885067	18870.773664754994
