log_likelihood	mu	sigma	theta
-672.805707232099	0.2621112426807098	157.15010143543884	17605.03201275232
-672.8057084397624	0.2621204112178301	157.13642349410634	17605.03201275232
-672.805707231724	0.26211112421911087	157.15033306262814	17605.03201275232
-672.8057072485375	0.26211202949173235	157.148562624094	17605.03201275232
-672.8057073064526	0.2621132908759594	157.1464724341925	17605.03201275232
-672.8057072317748	0.26211116160432407	157.15023436604162	17605.03201275232
-672.8057072540485	0.26211236528000553	157.148361428711	17605.03201275232
-672.8057072317724	0.26211115460466217	157.15027713515292	17605.03201275232
-672.8057094325916	0.2621021034139459	157.15924444670028	17605.03201275232
-672.8057072318113	0.2621110596430806	157.1504638554386	17605.03201275232
