log_likelihood	mu	sigma	theta
-667.9291684588406	0.26181044330780107	120.68666179446625	14023.322730866757
-667.9291686483847	0.2618142091563493	120.68461348084494	14023.322730866757
-667.9291683155285	0.2618099257282492	120.68873530060331	14023.322730866757
-667.9291684124647	0.2618084248313767	120.68958351046683	14023.322730866757
-667.9291683325204	0.2618088821557191	120.69009828329074	14023.322730866757
-667.9291683799913	0.26181203025222116	120.68642923125286	14023.322730866757
-667.929168317723	0.2618098389581986	120.68866580422495	14023.322730866757
-667.9291683270958	0.2618090790256094	120.68985903507264	14023.322730866757
-667.9291683159688	0.26180979008999156	120.68892105951458	14023.322730866757
-667.9291683158399	0.26180981413191834	120.68887175787887	14023.322730866757
