log_likelihood	mu	sigma	theta
-654.3135395367829	0.27081465042519504	161.8562219989947	20804.83895472484
-654.3135450741834	0.2708120342395115	161.8483254184805	20804.83895472484
-654.3135396475789	0.2708176084721984	161.85347395515862	20804.83895472484
-654.313541005255	0.27080772386848184	161.86278377056388	20804.83895472484
-654.3135394945026	0.2708165247770179	161.85322397133106	20804.83895472484
-654.31354524449	0.27079625820154574	161.88830560871784	20804.83895472484
-654.3135395004136	0.2708171383046884	161.85216690142587	20804.83895472484
-654.3135396546326	0.2708131264507546	161.85765891165195	20804.83895472484
-654.3135395477952	0.2708165119370377	161.8544277814999	20804.83895472484
-654.3135395321951	0.2708147615289825	161.85607609617392	20804.83895472484
