log_likelihood	mu	sigma	theta
-658.659019191909	0.27698026698829586	189.0292270664763	25299.075139386372
-658.6590192362705	0.27698175064666003	189.02760002642628	25299.075139386372
-658.6590191896004	0.2769809800543141	189.0278031684105	25299.075139386372
-658.6590191904991	0.2769810869127681	189.02773069840603	25299.075139386372
-658.6590192335441	0.2769826225672249	189.02485803181597	25299.075139386372
-658.6590192174752	0.2769822285252536	189.02550849752163	25299.075139386372
-658.6590191887868	0.27698073827134895	189.0282763097329	25299.075139386372
-658.6590191889281	0.2769806769099382	189.0284457466124	25299.075139386372
-658.659019188796	0.2769807369932187	189.02822192596034	25299.075139386372
-658.6590192501187	0.27697848243059525	189.03207692658796	25299.075139386372
