log_likelihood	shape	scale	theta
-298.53683382078833	0.2872167204715565	92.2410762544348	14044.230239109293
-298.5368337024065	0.28721491177768016	92.2429443811734	14044.230239109293
-298.53683386278897	0.28720919866200506	92.24817765674103	14044.230239109293
-298.5368336514942	0.28721332294370205	92.24483121277285	14044.230239109293
-298.5368336507768	0.2872130751412807	92.2450613282584	14044.230239109293
-298.53683365080224	0.28721300433113617	92.2451229541125	14044.230239109293
-298.5368337219084	0.28721177243287455	92.24568417181753	14044.230239109293
-298.5368336507745	0.2872130071259235	92.2451319318381	14044.230239109293
-298.5368377627013	0.28723226074424485	92.22530208102788	14044.230239109293
-298.5368336548726	0.2872133855209306	92.24461125926696	14044.230239109293
