log_likelihood	shape	scale	theta
-324.0405409969913	0.26966095805948914	119.72841984731208	14280.267100807221
-324.0405416006977	0.26965830916604594	119.72915540277161	14280.267100807221
-324.0405409934758	0.2696597374292536	119.7301595175732	14280.267100807221
-324.0405409877173	0.26966024626467716	119.72923455689305	14280.267100807221
-324.0405409877132	0.2696602115835938	119.72930794782162	14280.267100807221
-324.0405410167628	0.26965905792129635	119.73133572205997	14280.267100807221
-324.04054110489477	0.26965718250350357	119.73381418412443	14280.267100807221
-324.0405421713327	0.26965403575889313	119.73484805456275	14280.267100807221
-324.0405443068013	0.2696750295527923	119.71132330534617	14280.267100807221
-324.0405410113118	0.26965984178443075	119.7292549158049	14280.267100807221
