log_likelihood	shape	scale	theta
-302.1237219252892	0.2517100134205243	137.0335380121155	14015.969981676179
-302.1237219247208	0.2517099489853819	137.0337571298042	14015.969981676179
-302.12372192985634	0.2517096339312656	137.03459917134234	14015.969981676179
-302.12372192481405	0.25171003879398224	137.03358366727642	14015.969981676179
-302.1237231735859	0.2517074638227712	137.04308354865591	14015.969981676179
-302.1237219673563	0.2517086781765742	137.0366892794813	14015.969981676179
-302.1237219247259	0.2517099559616407	137.03372442918766	14015.969981676179
-302.12372193563095	0.2517102246911172	137.03281383733878	14015.969981676179
-302.12372196323804	0.25170887107239986	137.03637198354147	14015.969981676179
-302.12372192617283	0.25171025791820295	137.0331365890706	14015.969981676179
