log_likelihood	shape	scale	theta
-313.14911698011923	0.27164002453431757	114.82659854030537	13969.429696193054
-313.149118186429	0.27164607648935934	114.82191470884986	13969.429696193054
-313.14911992744044	0.27165649920282137	114.80260011696367	13969.429696193054
-313.14911696529424	0.2716405234745832	114.82583606679366	13969.429696193054
-313.1491319900701	0.27167702980958536	114.7766468075959	13969.429696193054
-313.14911695631906	0.27164164048458184	114.82426747333797	13969.429696193054
-313.1491172442802	0.27164634397352344	114.81787997090056	13969.429696193054
-313.1491169584571	0.27164097241502044	114.82527763684507	13969.429696193054
-313.1491169659056	0.2716405424092855	114.82566134875077	13969.429696193054
-313.1491169564697	0.2716416929105923	114.82423207917421	13969.429696193054
