log_likelihood	T_WGD	TF	nuWGD	nuF	H	theta
-351.798754662737	0.35381839320081837	0.27211751951410507	0.3161234354386979	1.03471461252088	0.0	5828.488910622697
-355.30392596714364	0.23612800971113546	0.3155713951768821	0.23053013254599922	0.9727514729816212	0.0	5991.475594323053
-351.8071774404328	0.3486694748247847	0.27539453346772647	0.3128830143099351	1.0314850260069208	0.0	5830.1169896143365
-351.79453662101	0.35161762478957576	0.2730584811194815	0.3145444707616692	1.035318513216532	0.0	5829.249133296317
-365.0059541595498	0.12462754594459939	0.36173018143115	0.13401949060315588	0.919905108657031	0.0	6144.322597791103
-351.793181551203	0.353338610930866	0.2724328454842908	0.3157755046555392	1.0363081570864243	0.0	5826.649771922759
-351.7933053556642	0.3532184494608523	0.2723590506500828	0.31576492668181416	1.036601298602172	0.0	5826.561440656149
-351.8053699949534	0.3600826119427264	0.27013259798477096	0.3204582941823945	1.040255538126157	0.0	5816.386198881789
-351.7933048176096	0.3526776065026345	0.272596590142884	0.3153686569810257	1.0361851042309245	0.0	5827.387139267898
-351.8277220413116	0.3632682624485709	0.2685102407251819	0.321919952943702	1.0428067794968539	0.0	5815.29171174643
