log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	m12	m21	misid	theta
-10723.927101122188	0.273897700715276	0.10260273611243163	0.28164763093651884	0.8284311223925133	0.862162666016132	0.0	1.5176842227084204	0.004928912072604392	5479.29838654129
-10719.788834067742	0.16777140999163723	0.19473229459512165	0.28962182586073665	0.8068063840870947	0.8704750592896995	0.0	1.5230832403714405	0.005062882505288426	5562.465311640522
-10721.196658663255	0.06515197832184448	0.2971883238596509	0.28687324276904425	0.8089908089504384	0.8875348381929135	0.0	1.5338250982860835	0.00500946150423671	5564.1626948175135
-10728.930718956119	0.13433553534279485	0.23999479520971317	0.2920198035922955	0.8140640225357555	0.9022181473905566	0.0	1.5173894638440906	0.007996985172747852	5490.882689748778
-10721.628737680649	0.043643633114378556	0.3178764525497827	0.2883630696731131	0.8158153536108237	0.8938047211687458	0.0	1.518511653214643	0.005247125405848605	5547.999900344597
-10719.025486960494	0.16543623573544822	0.2037584031463889	0.29046579176187415	0.8154682118872881	0.8858048705229178	0.0	1.5152165397979258	0.005470802365237712	5515.742551418439
-10721.57815000887	0.08020901325825713	0.2884986457984541	0.30102969998072576	0.8077426924407225	0.8963169040353867	0.0	1.5073993585943701	0.005514635654853881	5518.403242516418
-10721.98339123663	0.1784384145314543	0.1954819411218728	0.2647863993080024	0.8380098060310216	0.8957295132811904	0.0	1.529173792093	0.005002516248488842	5492.151010356661
-10725.524074419845	0.15529085865810738	0.20463519003446246	0.27381526984944715	0.8334412207299902	0.886143321073084	0.0	1.499349902630157	0.007103262451239898	5533.305830832891
-10720.826772472026	0.07406128977885613	0.28862569133213745	0.28474087620250377	0.8234945132339214	0.8920020057070956	0.0	1.514115779262766	0.005227322545628029	5536.5269477571
