log_likelihood	T_WGD	TF	nuWGD	nuF	H	theta
-1720.5188070708737	0.30154008247239067	0.3007296264708631	0.2880378525269436	0.9446775959511147	0.0	5891.732402489941
-1721.612529773521	0.24723305413997756	0.3164893949753052	0.24565933045704824	0.9263390415176809	0.0	5981.851160484204
-1720.5180848694658	0.30178360993744163	0.30084719786885683	0.2883227870662396	0.9445577028032579	0.0	5891.093607361197
-1720.523657466085	0.3028291570599725	0.3014878812353455	0.28917257660941365	0.9454808230216148	0.0	5885.106352145086
-1720.6332334474218	0.3201659627358569	0.2957661272067454	0.3018705832679748	0.9506093731351096	0.0	5861.601834283189
-1720.545771443047	0.29355500171856225	0.30306456409506805	0.2820116952849111	0.9416839517290123	0.0	5905.452324523917
-1720.5390114284637	0.3093315978710823	0.2980185642434422	0.2940332160625037	0.9468436500927044	0.0	5881.182404789406
-1720.5185545487993	0.30258629669432274	0.30044140812094366	0.28886150034714986	0.9445258323006758	0.0	5891.273444095833
-1720.5180032374453	0.30248098262238743	0.30059157798852315	0.2888148714421812	0.9448002989671769	0.0	5890.178828134915
-1720.5582314942203	0.3127589540187207	0.29804569098616773	0.2965343280128958	0.9485833396291078	0.0	5871.448194262552
