log_likelihood	T_WGD	TF	nuWGD	nuF	H	theta
-1579.8534129506243	0.39032802820140944	0.2924708280433453	0.355597396798964	0.9786193348663553	0.0	5644.316262962299
-1579.850152822396	0.3918332912770532	0.29289340593819535	0.3567038956442412	0.9790235350608886	0.0	5639.985583349392
-1582.2392715488272	0.31719579540597514	0.3226621717567505	0.3040703020312389	0.9461397413042304	0.0	5754.257315878645
-1579.8517421445376	0.39017581686443875	0.29316759474227894	0.35549265850448936	0.9781454467400899	0.0	5643.968146762419
-1579.8708254491912	0.38557698230463144	0.29490916172871273	0.3523911792876668	0.9778497690702691	0.0	5646.541202196259
-1580.0588711180094	0.4191742718817023	0.28562296963886263	0.3751723058777846	0.9889644556486338	0.0	5596.080579836236
-1579.8681359577151	0.3857228695809174	0.29473964371834555	0.3522731056518719	0.9774229231357032	0.0	5648.355203095011
-1579.8494324085987	0.39344398620084003	0.2921891442966203	0.3576561536574368	0.9795486426705821	0.0	5638.565446574307
-1581.0400271600847	0.3301632117701604	0.3115691930038241	0.3128396060946744	0.9590077587612831	0.0	5730.889291137318
-1579.8495995064031	0.3925430732430592	0.29248413623032127	0.35717431610932593	0.9791576309204024	0.0	5639.731107928731
