log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	m12	m21	theta
-10938.430211631747	0.001	0.3521107165280159	0.27381449959339044	0.8173121585938532	0.8955209218632771	0.0	1.3379650315263676	5603.197716491068
-10938.437084532186	0.001	0.3520418110848746	0.2747817696282615	0.8173762154325904	0.8961717862739006	0.0	1.3353052849468918	5600.850857777154
-10942.597696070829	0.1348771343949367	0.22896939165493801	0.27878093496277145	0.822279028417222	0.8999213681636716	0.0	1.328059182428783	5536.39071357587
-10945.459467018813	0.20046403013482703	0.17005460205074652	0.28000323445709885	0.8257997820264972	0.9036988431826469	0.0	1.323577303832695	5495.8756345950305
-10938.436852163844	0.001025489176948438	0.35206161059359903	0.2728724113059885	0.81678721909942	0.8952174453169995	0.0	1.3408454613112855	5605.857957456822
-10941.534789786898	0.10654326517172888	0.2550296104452395	0.2788810784162129	0.8213428356393843	0.9003490034534222	0.0	1.3270131825701554	5547.45125722647
-10947.543925219026	0.24206472105317678	0.13151956810037263	0.2854335042998061	0.8259971620269233	0.9042396892970684	0.0	1.3160492446990248	5469.764408374529
-10947.24177324565	0.233000579173539	0.14216929254461358	0.29154073739218295	0.8236380725289719	0.9106657650476916	0.0	1.3121759691735562	5458.018016014859
-10955.488643690918	0.37123129699567786	0.01774770567992117	0.28921693550066563	0.8377628323303771	0.8485488834562172	0.0	1.3012273547917947	5367.529809163847
-10938.457704754012	0.001	0.3516013634973798	0.2711758937390037	0.8190260786334747	0.8953538478845959	0.0	1.3397388106403783	5605.928222165518
