log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	m12	m21	theta
-10972.37516375142	0.04402100888706886	0.30726219547222255	0.3160377011186982	0.8141528829736986	0.8935995656751065	0.0	1.3058471582201419	5553.745034884244
-10972.706939098325	0.08300434570515607	0.2706949923027106	0.3189775839634936	0.8134294950745458	0.8933094148630785	0.0	1.3033148015930986	5539.725818812404
-10972.422641516865	0.05260930262136188	0.2995734940595871	0.31522279864218034	0.8141989467471807	0.8928057068030598	0.0	1.3082117947993341	5552.476891952641
-10972.588799742967	0.07412337460710836	0.2788225212550834	0.3169836721430112	0.8140224455805571	0.8925185636316821	0.0	1.3057650265288123	5545.63759613671
-10972.698538055498	0.08334751320799384	0.2704550628626988	0.31654474552491507	0.8147201298132642	0.8925337640756427	0.0	1.3054251114701014	5541.572264146984
-10972.433712401355	0.055766154906925394	0.2963348504185518	0.31666704038043936	0.8132771071858372	0.8931086081089804	0.0	1.30666055341861	5551.271515748054
-10972.76329084815	0.08351725037656328	0.27079022850305456	0.32071766561577525	0.8118823773921444	0.8953835287753443	0.0	1.3050154668416503	5535.585858963832
-10972.532475018346	0.06825232787886845	0.2842294001520684	0.31674570833503257	0.813683247517685	0.8923822774402108	0.0	1.3060502033209676	5548.691887355828
-10972.65402608117	0.07951150175951675	0.27393295296350867	0.3163557798583099	0.8138100643045958	0.8928562369794063	0.0	1.3073751789668573	5544.2087752665375
-10972.414319324302	0.05254220195077988	0.29895930791261055	0.3159616186263165	0.8133325191317633	0.8923858615787557	0.0	1.308242063774925	5554.995802154172
