log_likelihood	T_WGD	nuWGD	nuF	misid	theta
-100.27340663770269	0.4335207218179561	0.3230861111317139	0.8389278962844778	0.005113397527831069	5400.602829566668
-100.25141519774957	0.4340904019285682	0.31744491109741174	0.8422151727556281	0.004904124924756604	5412.979552673468
-101.15935366651456	0.5957131922577614	0.270386077236622	0.7534999765664774	0.0026249954722776707	5705.7157886280065
-100.25094324166048	0.4364837497694767	0.3161392378335617	0.8397717443134148	0.004870483583711369	5419.968322435005
-100.2508944409858	0.43808743459348803	0.31550987010724196	0.8401841459619535	0.004910276227735527	5420.10878453175
-100.40692748723995	0.37399926878901135	0.3348886784856513	0.8750532636798144	0.005659003582973349	5354.974164844979
-100.36842573164927	0.4903072572822001	0.2992788640166263	0.8142469433020412	0.004495097892214974	5492.545990031727
-100.6159731598641	0.3523346337539744	0.3484371772019557	0.884501241549573	0.006733361609761192	5324.032659872305
-100.55962394813582	0.37285562125684585	0.3212876326482523	0.8788290006346309	0.0042998057069239285	5391.426267904469
-109.65069322991621	0.7558225686447076	0.11113587198004109	0.4061566026519444	0.007990461717037106	9793.467050914169
