log_likelihood	T_WGD	nuWGD	nuF	misid	theta
-104.80810570146741	0.2785468926328794	0.43021726122228393	0.873895375692885	0.008841716738352406	5204.118671775323
-104.97436916305537	0.17238743975502144	0.5541636816408598	0.8942776798535594	0.009819909094886814	5194.137937306644
-102.02254351127635	0.5246835347529618	0.2832490874347198	0.7860845248490272	0.00591141529867869	5558.828668221586
-103.24072703801107	0.377867215906676	0.3463787843857801	0.8687681520869711	0.009085581652112125	5289.489824116388
-104.44006093610301	0.6893006256504887	0.12560660845980126	0.4730646811064582	0.001076850561555731	8570.247282053402
-102.73641138366929	0.4575435228284371	0.3145348101146809	0.8253078017048727	0.009221772025062532	5397.527269728796
-104.72815844082356	0.2723700650985214	0.42828448422888626	0.8850606709576971	0.009220366817286331	5202.547359602667
-102.50607347590858	0.570553618397301	0.2763884424986553	0.7832934275801715	0.0066128175547321534	5572.025020512829
-102.04239326030779	0.5236691683094059	0.2876552231708057	0.7862549231242015	0.0061380266575699225	5540.2164249718
-102.0386980187352	0.5509976600495461	0.26876284253456134	0.7657782442737446	0.0050967102436116265	5660.21976327518
