log_likelihood	T_WGD	nuWGD	nuF	misid	theta
-100.7344231919401	0.7928384297369725	0.2283562885735135	0.6488762745071528	0.0041247257107871835	6325.628756162735
-103.16618494566774	0.3045864563678225	0.4999703344461883	0.8160893208186416	0.008598917389749083	5222.131576466456
-100.90191423865076	0.7853004126810644	0.28399627730350013	0.7126625107547642	0.00916687631402259	5750.194614169763
-100.55525896635982	0.7960759575144347	0.26037957535830536	0.685605378350735	0.006348691313224272	5968.731465538109
-101.55814246042655	0.6355752598529852	0.30555149913338675	0.7486073315001152	0.005860424920983965	5603.0573264729765
-101.85112204989719	0.16177943725943375	0.9863305672776892	0.696871970563642	0.010927295746771037	5211.474182647972
-100.46850166767149	0.8099340594779644	0.23791489847752406	0.6594660811135022	0.0060823351511099175	6209.87063531806
-101.78326583336957	0.790614228100632	0.2405197932598655	0.6479613835296607	0.0023896927741410426	6243.848048642422
-100.40411592560235	0.8447108775682912	0.20840540078906025	0.6071610669920954	0.0053636779013475555	6678.062118883901
-101.32538058555133	0.79590567628724	0.18696306700146575	0.6098826620475692	0.0058379243657697335	6872.9798115062085
-100.5239398851088	0.8571140685758887	0.2009530962353291	0.5957420382722387	0.0070746541056178145	6806.5084431876985
-100.58237336872003	0.7797807193322333	0.2680158141980562	0.6992611363713809	0.007090699471485852	5880.979683692482
-102.27123434145142	0.20826810501116108	0.6840058079678137	0.7878854167853883	0.01147749189709927	5195.425940078499
-100.55321970708883	0.8343838929755448	0.2537155529768195	0.6691136621969982	0.006758241537451702	6062.536580888076
-100.50188060573714	0.8154604188047871	0.2492480625684598	0.6721242018146515	0.0069550632880399765	6082.855423660177
