log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	m12	m21	misid	theta
-1505.4117675341458	0.08451182388043467	0.2690212447165705	0.2878339747567404	0.8207963535597151	0.8636649094412442	0.0	1.2108214974019205	0.007408057736637029	5535.982229397832
-1503.7685362753289	0.21110667368595898	0.15229452526256887	0.3058616833389207	0.827718711623896	0.8552357257848886	0.0	1.1679621851475883	0.00823470897652476	5449.048120582119
-1504.5558646753793	0.0748205154030761	0.27919342052506024	0.3035426720374835	0.831434031564509	0.8802077146384354	0.0	1.1569702359122251	0.00798660761564179	5490.175834104757
-1719.0288453195712	0.11616139326811496	0.15031754309500225	0.7838934342329292	0.5705360675725953	0.7163750709240629	0.0	0.7185659689491729	0.0055598040714601275	5785.617495439963
-1504.2646116029634	0.24621720491318436	0.11717509329109502	0.3055527883513419	0.831973543681429	0.8356599029619939	0.0	1.1644928357277455	0.008180408553228222	5442.704148731529
-1514.5355785779002	0.2773824301180705	0.08833214909007507	0.3756133908663653	0.8002625418412403	0.8324127694701645	0.0	1.1030462239284198	0.0057290230865354695	5375.6964094622135
-1521.9297577329887	0.27440042530003245	0.14379109153249273	0.299429556027981	0.8077785687520923	0.9032830647514298	0.0	1.2836415778487649	0.007804606863654966	5304.279036497916
-1507.6711316556448	0.16518392521712488	0.1830828581764147	0.3377520670988568	0.8033022887246853	0.8491752498462096	0.0	1.121441014771051	0.006241591266676564	5492.996569081436
-1506.2045795281028	0.21600556768620802	0.1506867442561609	0.3052563138923714	0.799302706265125	0.8585572405042446	0.0	1.2040126849396533	0.006217979964104365	5462.807009458066
-1504.784328584975	0.2743057180836291	0.09481584115063325	0.29904611810497067	0.8394420323982233	0.8280574914545263	0.0	1.170343785869291	0.008282282477366117	5419.82920724353
