log_likelihood	T_WGD	nuWGD	nuF	misid	theta
-392.35428721575227	0.5035602022054936	0.2711437196028756	0.8090391221422055	0.004662228319797014	5576.0201747550755
-391.9732541189407	0.5246557038462091	0.2626833866558788	0.7963491377846185	0.005368083132611756	5634.240930845686
-393.0366337303776	0.4572753667490229	0.2979067887267129	0.8403128901410708	0.0068606304866760445	5427.398350293232
-392.02234711472005	0.503070077843556	0.27397947567482694	0.8102599571756884	0.005546866553483021	5561.681301897827
-394.08275601891955	0.4043213426141738	0.32578315318515505	0.8644874869610348	0.006677263479234101	5329.96827769814
-392.0086441196495	0.5076676030579371	0.27248388663177553	0.8076537071107601	0.0053900144931838985	5571.936319879507
-426.41418970579264	0.9216112268825472	0.1597160967758338	0.5144912047590912	0.008346416259430927	7793.183412480152
-397.5007438211567	0.662846025390542	0.14937834178263046	0.5902054834151629	0.003916969643122298	7324.191195363887
-394.1907165884549	0.3920714233938507	0.32160799367323495	0.8588534387964168	0.006127203057592877	5369.028534619687
-391.98377961795586	0.5269022596103317	0.2620617758412547	0.7965833309370673	0.005468113553692747	5634.4567694099105
