log_likelihood	T_WGD	nuWGD	nuF	misid	theta
-389.7631548528814	0.6247110647736014	0.22978470097920117	0.7616899774954186	0.004450126906323055	5834.201455184178
-389.7650684861589	0.612053800412168	0.2321798469675396	0.7661006675361992	0.004451861239938074	5812.477898589604
-389.747092924894	0.6207427675411373	0.2280468321506772	0.7605128837732663	0.0044010462537656175	5849.87200596317
-389.74580092945774	0.623894109189957	0.22599823783603978	0.7567651735649941	0.004333517610737904	5873.210980147952
-396.6025780723781	0.3795060669891334	0.3864066584253472	0.8852654660524494	0.006122772669793135	5145.539137733163
-398.3632721762438	0.19954923118410658	0.5957584270892371	0.8971516334600897	0.006684173488978712	5072.831213216261
-389.95522831973705	0.652543396888179	0.20189564539382113	0.7157834440385314	0.00399800643311327	6169.492551764195
-389.8978804837063	0.629837949449732	0.22618227652769102	0.7537274809763931	0.0038678672852299643	5880.726315492385
-398.6938946434886	0.30287212972981353	0.44573394584533427	0.9048339156575194	0.007072714216585259	5086.886392321373
-389.7503354205537	0.6200576223436856	0.22924639329651864	0.7621093962968892	0.0044529900212712395	5837.975953714973
