log_likelihood	T_WGD	TF	nuWGD	nuF	H	misid	theta
-373.6186520132578	0.32866360837172354	0.3676936978536845	0.44870958289936047	0.7363076781724602	0.0	0.01009983448577397	5652.94279156248
-290.08453994769445	0.12349988868037978	0.37912266995660443	0.14691995765900298	1.1064312859869727	0.0	0.0101	5646.08688560102
-460.7579068927391	0.23701455605919447	0.18561871001992344	0.21215208719643808	1.7942693557722844	0.0	0.0101	6070.000509176497
-379.2875082967541	0.22548049862822364	0.27039098434221276	0.2486585965000817	1.32517423415469	0.0	0.010099797344385993	5613.377112142555
-313.85781641326525	0.20521917912049195	0.551767309767852	0.17399566172639205	0.941099880270401	0.0	0.0101	5501.373605516348
-190.2992593976696	0.36062816600643904	0.558897891741383	0.3517742223188265	0.9496789661703081	0.0	0.0101	5115.605960130392
-328.99438561290634	0.35087777230294903	0.3243199951111513	0.43706673614578645	0.820445417418269	0.0	0.01009985306157572	5574.055830718213
-219.8029500905579	0.33995043355094695	0.5369629420948586	0.34268054736239434	0.8259497586299751	0.0	0.010025000000000001	5396.947969104836
-207.43137769514524	0.24373315781370497	0.2458688846895305	0.21765705507390595	1.0783281229960513	0.0	0.0101	6117.989368631015
-456.4464191955056	0.28360794725544825	0.2553845471052096	0.20463624735923536	1.2425657616582826	0.0	0.0101	6055.530871544325
-602.2075198214152	0.23803566260195988	0.43532120497028604	0.28462653208700855	1.3849603306198153	0.0	0.0101	4926.943182810134
-328.6322464944034	0.28280883752020464	0.28684160001131326	0.3440438806184639	0.9859920529298953	0.0	0.0101	5614.184098647102
-278.0807125316064	0.3868897162215704	0.2298113521912024	0.28272268875249307	1.1209944950549204	0.0	0.0101	5963.7839026597185
-278.4736051327867	0.24725126252721896	0.2646494335703338	0.2916002838435564	0.9508683561673611	0.0	0.010099950553201554	5860.860435271865
-283.66977257754166	0.14296646278216416	0.33048919063290305	0.19214636556038817	0.883573366185949	0.0	0.010099874478950777	5950.989015016935
-292.6132539038497	0.1639912652688889	0.4412024056581645	0.21891550578325103	0.9930568258510931	0.0	0.0100999215892732	5450.658757477919
-154.23182136000005	0.34338336384090395	0.3079638320058407	0.3357698278174252	0.9120864649977284	0.0	0.010099901469056349	5711.730819100052
-163.88070135835096	0.22410358257345556	0.36893721193909484	0.23013642805595055	0.8576592910834607	0.0	0.010099974546525557	5900.380974935617
-289.31618992993174	0.14286566537780945	0.3187432891830994	0.18458640208203872	0.9640626233149864	0.0	0.010099928883443278	5899.089637921754
-500.6676913593069	0.22102800893228455	0.4745186438842558	0.4465628621155683	0.6711797631414828	0.0	0.010099859311983954	5708.182742989903
-180.22201742845047	0.4710408843466694	0.4009251555679389	0.39770752450045366	1.1209102314948274	0.0	0.010099843574043536	5073.829936726264
-354.42116416727174	0.16917579978201958	0.3094125149104098	0.23094943235084972	0.9309530274965391	0.0	0.01009995390936599	5845.734529361581
-399.3170813092927	0.19685313102137872	0.18944206453190118	0.1922695996882312	1.5342096633467746	0.0	0.010025	6178.555470373216
-287.73006371960616	0.26600731358736496	0.33946785426245546	0.33866777023553873	0.868103015221225	0.0	0.010099869634639467	5659.728694813447
-501.07817930067273	0.2985076399900235	0.47867541109558953	0.3409825245381064	0.6222327684464176	0.0	0.0101	6003.430578995973
-173.22355185784645	0.28027622275802266	0.27182862383339734	0.262459565715803	0.8888907197727353	0.0	0.010099837670628272	6073.397025556342
-720.4551623499522	0.20770697855178172	0.15563771307588903	0.2830097933679519	1.15021696265402	0.0	0.0101	6091.317270556915
-490.142280742461	0.28360094559819915	0.3493528499743324	0.4322218565904666	0.6550427079738067	0.0	0.010099833344225716	5901.942264379978
-552.9131787113339	0.13373493612787388	0.45542291605477914	0.3110998879692369	0.6819722551302752	0.0	0.010099928037734237	5830.945004714457
-441.7533458028809	0.2282950548017424	0.2747936060917838	0.254457025764917	1.3994596017451133	0.0	0.0101	5522.069748507673
-453.99190849639604	0.1923500341774249	0.5391720765353447	0.21076309168115898	1.2812833715063991	0.0	0.01009932155474726	4931.168252660417
-201.25767839600857	0.15369886444384706	0.5767246978501904	0.1657687187098648	0.9334694803104332	0.0	0.0101	5424.530814363472
-209.3288687060338	0.3432618791244	0.4891126024686776	0.3113374521304576	1.0759675804163158	0.0	0.010099890952663658	5126.829104049437
-252.5004820995778	0.32863324693474233	0.16710333926942228	0.32287252281494644	1.1231986848989672	0.0	0.010100102302642187	6046.107028971687
-366.071823212493	0.2650179859071499	0.37698350902041877	0.2695231256911136	1.3253840256845681	0.0	0.010025	5205.6973621544685
-286.9679983617449	0.5700872602678175	0.2979563541760789	0.3801998462481272	1.300375726735501	0.0	0.0101	5209.993909914997
-338.9975701547833	0.22258528706753677	0.17171829926341856	0.241278765898115	0.9155542601626944	0.0	0.0101	6467.803908537811
-313.36270009696716	0.4608229455499602	0.2737782611774938	0.4813282346618646	1.1372929060193178	0.0	0.010099858128769144	5180.0783666789
-264.82555861202985	0.18517650415114117	0.33930265664571835	0.17945176512920077	1.1925049968701251	0.0	0.0101	5698.985203816613
-377.0260893448613	0.30516384721975554	0.4657821551794349	0.46578614443596916	0.81151926407344	0.0	0.010024879148740224	5341.631763336379
-378.6189239669283	0.36207453981024734	0.28012781504406875	0.35725298449385245	0.6591368272299799	0.0	0.0101	6177.934314486573
-273.8535009010338	0.2634178883028478	0.4631211832749975	0.31202806502428476	1.0519837947354092	0.0	0.0101	5183.533109298016
-402.62760391555264	0.34867894801556387	0.18718109303472133	0.2510288467544228	1.3646019746512352	0.0	0.0101	6166.257402271103
-233.4602837719194	0.3484009472640005	0.626569085891839	0.430028669931216	0.9075592537483472	0.0	0.0101	4992.3466235362375
-300.0486873262994	0.15073902044054963	0.2641173922718886	0.1836203261614397	1.0127009993370628	0.0	0.010099927481571692	6064.791458482805
-493.94352963404424	0.3675673504869109	0.44262585308708274	0.5886904824230331	0.787643357285423	0.0	0.0100999357249072	5261.371416718991
-193.46057540228304	0.28347334058546464	0.4801319246700798	0.32956439511346636	0.9110816257094954	0.0	0.010025000000000001	5343.611251080742
-289.61435985746095	0.37629130801575905	0.29852163294540623	0.33362119295837284	0.7373035896427966	0.0	0.0101	6044.829804937523
-589.9002742008583	0.36042087197110195	0.20106385735589768	0.23479365325371954	1.0996406514772228	0.0	0.0101	6366.4576251656
-267.97336537184094	0.19646658604518585	0.2144989052204462	0.21261438889698198	1.0515192579875978	0.0	0.0101	6219.702473910987
