log_likelihood	T_WGD	TF	nuWGD	nuF	H	theta
-103.34571337236119	0.33317616749771545	0.2865898854077811	0.3095658225740144	0.9933320475906514	0.0	5794.864287144112
-103.34876844560418	0.3299237912620573	0.28836591210376833	0.30731206184642823	0.9916102362857336	0.0	5797.428593409023
-103.34740554779435	0.3361872516493534	0.285299792908514	0.3116232084472403	0.9947838709574542	0.0	5791.609978872503
-103.34730572785043	0.33091070008430035	0.2873822269515339	0.3079410558124845	0.9919290747782418	0.0	5798.516570095907
-103.54722450100857	0.36588711464628365	0.2754729016561516	0.3321410076421581	1.008876932548734	0.0	5748.987681740347
-112.08170628276179	0.11786705245753998	0.363798380822077	0.13112957188404512	0.8933602746464917	0.0	6122.290614394271
-103.39963983572756	0.3167208177566642	0.29251255724118264	0.2980753436842174	0.9840457747968642	0.0	5818.524851678608
-106.56768530128411	0.20153479209365338	0.3431605976418664	0.20938128111741688	0.9265336413103235	0.0	5958.677458461215
-103.35404810100195	0.3300547013312464	0.28717854283703725	0.3074858621963074	0.9901433946611308	0.0	5802.504186619771
-103.41077801466221	0.31683092362396226	0.29294671544944634	0.2974951751139421	0.9849134666527608	0.0	5818.175094942152
