log_likelihood	T_WGD	TF	nuWGD	nuF	H	theta
-112.5735863783062	0.2468698145394081	0.334465741635726	0.24235090526805608	0.9255525586024509	0.0	5845.721085139135
-107.66227550588968	0.40527874250164525	0.28315290637113805	0.35411986617546237	0.9930005181429926	0.0	5614.546065684525
-107.6731238399282	0.4070018477694196	0.2807863033302331	0.3552756739637395	0.9931949939141658	0.0	5618.044175139804
-107.67056965765781	0.4112356506908733	0.28152226690363613	0.35774359741667106	0.995117100519931	0.0	5606.588399443803
-107.66279520566658	0.4039572341396106	0.2835755703971892	0.3533476481982663	0.9922731508779462	0.0	5616.331288507402
-107.66284947984354	0.4035374819664389	0.2835672623511177	0.3528905394140181	0.9925508306307111	0.0	5617.367235904327
-107.72343590274744	0.4221770502973303	0.27645826794087164	0.3648347213767898	1.0002210879508833	0.0	5595.28674041105
-107.66342422466374	0.40270356728419726	0.28372328796400814	0.35243568916484114	0.9918881194313247	0.0	5618.964137968297
-107.66305383398401	0.4070431942975126	0.28217512771238784	0.3551481242701127	0.9940597886139537	0.0	5613.298360348106
-108.06630295772342	0.36230407805148895	0.2977410424696738	0.32746192279774666	0.9687410469773364	0.0	5674.98942068495
