log_likelihood	mu	sigma	theta
-107.14247924570395	0.26965038754797827	142.30631118382715	17341.303055547716
-107.14247923893174	0.26964949969481805	142.30784880064485	17341.303055547716
-107.14247923816242	0.2696493693216569	142.30794178377386	17341.303055547716
-107.14247943479097	0.2696467276926623	142.3140702857369	17341.303055547716
-107.14247977582977	0.26965804379303554	142.29348591224462	17341.303055547716
-107.14248002939394	0.2696472312409045	142.30645012178164	17341.303055547716
-107.14247924224162	0.26964859236196564	142.3092652610076	17341.303055547716
-107.14247943241128	0.26964457385414303	142.31400109287543	17341.303055547716
-107.14255456019805	0.2697090705244546	142.17779405109627	17341.303055547716
-107.14247925722009	0.2696481002524167	142.31039058016495	17341.303055547716
