log_likelihood	mu	sigma	theta
-106.19059676804568	0.26938779125819934	120.70776584172026	15225.410962628113
-106.19059646855669	0.2693902079938073	120.702304464011	15225.410962628113
-106.19059648456926	0.26938871702855377	120.70423160473504	15225.410962628113
-106.19059647444533	0.26939110561313584	120.7013107431494	15225.410962628113
-106.19059658906235	0.2693865345672777	120.70782316038307	15225.410962628113
-106.19059660735854	0.2693880300331214	120.70661262360345	15225.410962628113
-106.1905966473987	0.2693850749034399	120.70891470276837	15225.410962628113
-106.19059646855806	0.26939021515131595	120.70230261490613	15225.410962628113
-106.19059834829545	0.2694063545223999	120.6795413139018	15225.410962628113
-106.19059650709937	0.269392685280576	120.6990539378736	15225.410962628113
