log_likelihood	mu	sigma	theta
-106.83990060388805	0.26228177171813144	124.30523843710873	14262.20249761068
-106.83990068662865	0.26228733791363623	124.29989485948327	14262.20249761068
-106.83990046183953	0.26228744841087015	124.29730334898244	14262.20249761068
-106.83990050230807	0.2622838702747321	124.30287571233694	14262.20249761068
-106.83990054800199	0.2622850490162169	124.29946144163662	14262.20249761068
-106.83990045295343	0.26228626840377806	124.29913098422855	14262.20249761068
-106.83990662593021	0.2622989359142695	124.29199407379973	14262.20249761068
-106.83990077476085	0.2622797742061686	124.30894628827087	14262.20249761068
-106.83990046802717	0.26228545638599643	124.29980530205732	14262.20249761068
-106.83990047548036	0.26228672807055403	124.29775774425302	14262.20249761068
