log_likelihood	mu	sigma	rho	w	theta
-1048.0619029919153	1.6654822319991676	2.485981981335667	0.0	0.06555276216655176	14006.82386497245
-1048.0619062688506	1.6655304860108455	2.486033957757267	0.0	0.06556455824791904	14006.82386497245
-1048.061915333143	1.6654611234644123	2.485965744271381	0.0	0.06546519670269402	14006.82386497245
-1048.061905968009	1.6654845905306745	2.4859940484438594	0.0	0.06550653779460491	14006.82386497245
-1048.0619028435879	1.6654843037718798	2.486005884684355	0.0	0.06555183207253806	14006.82386497245
-1048.0619029749685	1.6654787401437405	2.4859822082890157	0.0	0.0655517864281329	14006.82386497245
-1048.0619322441717	1.6653361312082562	2.485833064017065	0.0	0.065544416191913	14006.82386497245
-1048.0619034269787	1.6654796391276983	2.48604664673138	0.0	0.06555710902779503	14006.82386497245
-1048.0619056038117	1.6655032449110825	2.4861007243102646	0.0	0.06553340059517808	14006.82386497245
-1048.061902903272	1.6654873586939034	2.4860043648209564	0.0	0.06554700673522212	14006.82386497245
