log_likelihood	mu	sigma	rho	w	theta
-1038.736125944873	1.6318109182065832	2.5226619319674457	0.0	0.03955965028761416	13870.303122102694
-1038.7361955707065	1.6317171170596514	2.5222558089020803	0.0	0.03950642744654109	13870.303122102694
-1038.736120962948	1.6318437200828104	2.522761399253144	0.0	0.03956708819948268	13870.303122102694
-1038.7361204154781	1.6318510961696886	2.5228062709649244	0.0	0.03956903718412868	13870.303122102694
-1038.7361201086428	1.631852246251565	2.522815111023656	0.0	0.03959009826436883	13870.303122102694
-1038.7361201066874	1.6318515493556869	2.5228141519502376	0.0	0.03957696082524483	13870.303122102694
-1038.736122728434	1.6318954760186992	2.522827913768113	0.0	0.039575390345569596	13870.303122102694
-1038.736125908192	1.6318818481079258	2.5228437639529795	0.0	0.03953275157814068	13870.303122102694
-1038.736120056165	1.6318547007761164	2.5228048895600663	0.0	0.03958379838900593	13870.303122102694
-1038.7361217919577	1.6318321357826475	2.5227209857025104	0.0	0.03958208443608091	13870.303122102694
