log_likelihood	mu	sigma	rho	w	theta
-1052.7885473633746	1.628277611928319	2.5099129503147903	0.0	0.0550329879179588	14004.445114955934
-1052.788547897148	1.6282849713896441	2.509878254415131	0.0	0.05502787999825169	14004.445114955934
-1052.7885474105342	1.628272742799325	2.5099093417696046	0.0	0.055029620013372804	14004.445114955934
-1052.788547362401	1.6282773260441852	2.5099122835235055	0.0	0.05503187760877126	14004.445114955934
-1052.7885527493827	1.6282764774158758	2.509969195706923	0.0	0.05508737310354872	14004.445114955934
-1052.7885474070013	1.6282774594562184	2.509904991621448	0.0	0.05503579664229324	14004.445114955934
-1052.788548195735	1.6282671479701218	2.509946143059252	0.0	0.055045635633311336	14004.445114955934
-1052.788547375268	1.6282805619249958	2.509912386026995	0.0	0.05503109475419973	14004.445114955934
-1052.7885564937105	1.6282496299271936	2.509806655367835	0.0	0.05496732476912596	14004.445114955934
-1052.7885482193046	1.6282988874544446	2.5099028238722725	0.0	0.05503182727354241	14004.445114955934
