log_likelihood	mu	sigma	misid	theta
-375.4458478636672	0.2660432133131383	112.41532508145126	0.0029365184272927333	13724.625581436847
-375.44588202958556	0.26600758213262027	112.46173910530165	0.002938778549085426	13724.625581436847
-375.4458672524325	0.2660223323350714	112.44232439605109	0.002933683370607154	13724.625581436847
-375.44585523048204	0.26606371587388244	112.38755492242365	0.0029361692595780906	13724.625581436847
-375.4458549429804	0.2660195711925146	112.4417642062481	0.0029368428826679234	13724.625581436847
-375.44586815700654	0.2660616823872557	112.3949104990207	0.002939434458340932	13724.625581436847
-375.4458478567717	0.2660424441952717	112.41618014278782	0.002936432161549907	13724.625581436847
-375.445849330508	0.2660478537537977	112.41427717745569	0.002936647999005915	13724.625581436847
-375.4458485585659	0.2660417610741536	112.41910747265631	0.0029360248885883103	13724.625581436847
-375.4458480640976	0.26604116668997796	112.41631194647537	0.0029365182877458427	13724.625581436847
