log_likelihood	mu	sigma	misid	theta
-381.0035778452279	0.26448504742851137	111.15983237724642	0.005053045526909155	13239.134450479385
-381.00357712910903	0.2644734174285446	111.17370108966288	0.005052585299913634	13239.134450479385
-381.00358227030836	0.26448929721530173	111.15574288179693	0.0050515924542111216	13239.134450479385
-381.00357701067344	0.26447641281991957	111.1699397280031	0.005052940205144752	13239.134450479385
-381.00733696410043	0.2646747023240337	110.91517284766356	0.005098940200917858	13239.134450479385
-381.00357719516643	0.26447908232092293	111.16568748877233	0.0050529966730970665	13239.134450479385
-381.0035771538655	0.2644758197463111	111.17092029364981	0.005052463076418102	13239.134450479385
-381.00357724075246	0.2644729812822389	111.172957496029	0.0050529530727430345	13239.134450479385
-381.0035770857834	0.26447669826312087	111.16941895309436	0.005052527611255035	13239.134450479385
-381.003576997049	0.2644775079095948	111.16812447602409	0.005052815661361766	13239.134450479385
