log_likelihood	mu	sigma	misid	theta
-394.1407563822212	0.2644654441724049	119.4404772685709	0.004002958945605189	14085.602327114215
-394.1407569255773	0.26447161627384974	119.42925716973477	0.004002898611063672	14085.602327114215
-394.1408035510659	0.26452247571950965	119.36380751140929	0.0040019033481918246	14085.602327114215
-394.14075708861645	0.26445493650741075	119.45062330763152	0.004002277504626818	14085.602327114215
-394.14076483078736	0.26444725782187417	119.45638808228563	0.004004314227518161	14085.602327114215
-394.1407560601018	0.2644594759423279	119.44524917132395	0.0040029110657799375	14085.602327114215
-394.1407562203126	0.26446001970563415	119.44490456133137	0.00400253026916742	14085.602327114215
-394.140756272219	0.2644590946878696	119.44737050591624	0.004002737287733174	14085.602327114215
-394.14083916873267	0.2644709840136152	119.42925540182321	0.0040095472108732854	14085.602327114215
-394.1407621579202	0.26448108683859417	119.41326902208716	0.004003565656397624	14085.602327114215
