log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	m12	m21	misid	theta
-1120.602220672462	0.3057143082176572	0.06282760415594985	0.3936284412107223	0.6924844925618766	0.8014056051134609	0.0	0.02207844993422407	0.0063989781662364695	5451.593390692586
-1117.1158295175244	0.2856733268809064	0.06060384105679749	0.2839256438893617	0.800627150360407	0.7408559549482475	0.0	0.026216038366411447	0.006083674038755726	5573.962368605304
-1125.074118915438	0.09999646985405762	0.28159267236661767	0.3381675124703012	0.7603955632684716	0.958099028110535	0.0	0.07035775353086458	0.009556757599249018	5375.2141999710675
-1137.5386888212806	0.12884080542490572	0.18666215624900176	0.2279989613504252	0.8705687276490561	0.7982574632525722	0.0	0.01	0.00975717058269468	5765.319501103983
-1114.7455531654605	0.1874044072775293	0.15650976750257217	0.2885474552330355	0.813145084153793	0.8413733081343131	0.0	0.016482135756664806	0.007154605248802237	5570.550890227829
-1119.8377985732711	0.11165076364164381	0.247702858629796	0.28798239370248546	0.8711692034744472	0.9300926694192319	0.0	0.036505969879554574	0.0055967196134331125	5432.311110155137
-1119.1146995897466	0.057545278875761656	0.29299908882473963	0.2646922254071494	0.8984821986281706	0.9088772616482855	0.0	0.030114405211353657	0.008427300238987528	5496.9472072414055
-1144.7275800591203	0.24437552884576583	0.08704306243112095	0.24332947737113336	0.8370212143837251	0.7040793368698881	0.0	0.029873761651343388	0.00040778608359046093	5711.656566112543
-1114.4302784416452	0.0022220099601570815	0.33698236778154766	0.28108761646994046	0.7961889581924085	0.8849205922366039	0.0	0.020010273266900882	0.004562496664611391	5610.972822022681
-1114.9951177017351	0.16414633872516207	0.19854320398237146	0.3308960022283133	0.738589859984271	0.8971048058687017	0.0	0.03641331040726765	0.008605660144328885	5493.724407898854
