log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	misid	theta
-1504.0441330291972	0.12491111988000857	0.27375713952837205	0.3556802062464235	0.9029223974757074	0.9525183165767629	0.0060026491351432365	5063.562635118087
-1506.0670466775168	0.07031943217944188	0.33151220077443083	0.3628467718087731	0.9087601665529582	0.9662565209831431	0.00838912644416036	5034.504876416676
-1504.7903389670769	0.25244589433096165	0.1498346527332882	0.36102500730836323	0.9057620415521703	0.9471624962121045	0.006236999049112283	5039.9602445623195
-1504.9024680498808	0.24463068717082456	0.15789594590829245	0.3616890376729421	0.9116319864959973	0.9484224133239395	0.006745693125468768	5034.413948196421
-1505.0064726046962	0.27919644867614396	0.12582288226063806	0.3667365888968388	0.9035367311183261	0.9523939310377818	0.00628191795406024	5022.823356988978
-1505.7979366844907	0.18253969722270527	0.2186780463530242	0.36550170262978543	0.8958074903393973	0.950261578651217	0.00449807168342865	5049.983314815902
-1512.1968197103874	0.4043801450021242	0.001	0.33140386729273913	1.0150116011542052	0.5567283807348703	0.007482527945676357	4964.1832459834895
-1504.3758504764	0.1900536199543366	0.21086725116595387	0.3582858986440963	0.9071343818040472	0.9513713818144638	0.00627625539300612	5048.4913312025155
-1503.958691749629	0.09328030358649048	0.3052119929600469	0.35369792553523965	0.9126679469402572	0.9571998706020125	0.006279302246852359	5056.596464091359
-1505.56566649901	0.3443764485395646	0.06140118624264166	0.3675856745251773	0.9023583516872747	0.9393913508821784	0.0064638614182633124	5015.489911123514
