log_likelihood	mu	sigma	rho	w	misid	theta
-9328.817762748422	1.4322731398679396	2.285382880771978	0.0	0.028336332853730578	0.002721909888009884	13502.587127248287
-9328.81776286942	1.4322755445707758	2.285406356071195	0.0	0.028338549406699554	0.0027218189084605294	13502.587127248287
-9328.817766188324	1.4322357226884155	2.2853749655507394	0.0	0.028327353316257225	0.0027218029474296774	13502.587127248287
-9328.81776339536	1.4322687987222384	2.2853859331812494	0.0	0.028333247035803585	0.0027216424086477587	13502.587127248287
-9328.81776327634	1.4322788274999032	2.285391981538572	0.0	0.028342613141904532	0.0027217672614461477	13502.587127248287
-9328.817765886351	1.4322606838109246	2.2854090698055276	0.0	0.028358834240244078	0.002721877342952125	13502.587127248287
-9328.81776379312	1.432270058296714	2.285389988519873	0.0	0.028349767788145165	0.0027220863896716676	13502.587127248287
-9328.81776272796	1.4322700425669956	2.2854013568134532	0.0	0.028340278024816593	0.0027219879229129873	13502.587127248287
-9328.81776380596	1.4322654835668758	2.285381811779116	0.0	0.028350239485716456	0.002721968709824093	13502.587127248287
-9328.817762725886	1.432265261295857	2.2854048544695607	0.0	0.028338671035587133	0.002721899459927592	13502.587127248287
