log_likelihood	mu	sigma	rho	w	misid	theta
-9414.932704840416	1.4269505831583067	2.216426054439939	0.0	0.049014844042213415	0.0026525930094557	13619.487584686798
-9414.932703843035	1.4269261050595503	2.2163436201159836	0.0	0.04902173397745744	0.002652561264788617	13619.487584686798
-9414.932703805436	1.42692813086755	2.216404593388131	0.0	0.04902001158238367	0.0026519524898938446	13619.487584686798
-9414.932704135104	1.4269284860341347	2.2163973858288055	0.0	0.04899815036764652	0.0026524254036371896	13619.487584686798
-9414.932702995744	1.4269194931940352	2.216425978745055	0.0	0.04901153946086478	0.0026522725037211956	13619.487584686798
-9414.932702615855	1.426915788167215	2.216395407790462	0.0	0.04901523402122239	0.002652534330615004	13619.487584686798
-9414.932702652339	1.4269173402912432	2.2163821299981485	0.0	0.04902332391505357	0.0026523794419411276	13619.487584686798
-9414.93270236049	1.4269225506606178	2.2163956391755484	0.0	0.04901270055021896	0.0026523999538777382	13619.487584686798
-9414.932705169871	1.426930435685366	2.2164140129229195	0.0	0.04903428513714504	0.002652706798241524	13619.487584686798
-9414.932702630207	1.426919435362218	2.2163801285718474	0.0	0.04901082863855609	0.002652287151077132	13619.487584686798
