log_likelihood	mu	sigma	rho	w	misid	theta
-9257.305714584387	1.4043189715434765	2.2643465799761326	0.0	0.03369215913984347	0.0029299758113850976	13236.344675207722
-9257.305710246259	1.4043546023383955	2.264416064267192	0.0	0.03368663084820256	0.0029298467789486793	13236.344675207722
-9257.328787705752	1.4041483820517522	2.264716071826037	0.0	0.035579379341001006	0.002937583925172973	13236.344675207722
-9257.305711144942	1.4043515625501781	2.264442353558273	0.0	0.03369494864786912	0.002929805218247099	13236.344675207722
-9257.310677544148	1.4042393770630506	2.264209890578454	0.0	0.034556824741652815	0.002933515681885133	13236.344675207722
-9257.305711408291	1.4043648928883847	2.264379816880409	0.0	0.033678664105542114	0.0029297903063147178	13236.344675207722
-9257.305719926086	1.404290831170307	2.2644244872814787	0.0	0.033677072728301574	0.002929851304631132	13236.344675207722
-9257.305710744426	1.4043529480286001	2.264408333488238	0.0	0.0336810653259347	0.0029300996328038564	13236.344675207722
-9257.305755906069	1.4042929905971004	2.2646542495046997	0.0	0.033650982940278025	0.002929391660516997	13236.344675207722
-9257.305712213009	1.4043666784813793	2.264426955270789	0.0	0.03367204289641564	0.002929660629875229	13236.344675207722
