log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	m12	m21	theta
-1508.6757312403968	0.1635186830546656	0.17557009800365164	0.3457413247540214	0.7739268549815552	0.8433225367537535	0.0	1.5018644733898208	5576.212019782263
-1508.6212449265383	0.13777775756581678	0.1990493369638398	0.3476701125168196	0.7728943550403901	0.8492627045206572	0.0	1.4973453848435676	5585.835190306597
-1508.607093979192	0.14109850219027137	0.19544030026794573	0.3436691355847356	0.7773233205226752	0.8484782917543717	0.0	1.495768303404582	5585.778306304644
-1508.6047180663259	0.14380566854882795	0.1933369166591138	0.3434981731218458	0.7768806163676208	0.8478224811432937	0.0	1.4985506292921986	5584.525082183629
-1508.6101290874717	0.1354391828484658	0.20104771358162216	0.34293158207163854	0.7767473564493609	0.8493936919483641	0.0	1.499216882403967	5588.641674425221
-1508.6068927885894	0.14467128037154325	0.19292396007744794	0.34274950808535476	0.776493588331161	0.8478403229798523	0.0	1.500790678026192	5584.219764086439
-1510.9217080824455	0.2511043450760678	0.09762553901122903	0.35473910934385877	0.7550222433246523	0.8073239834072036	0.0	1.5243308208968964	5541.00472307628
-1538.2909370030259	0.3804760500375694	0.001	0.3699991409478112	0.7986766593183723	1.573655999281883	0.0	1.4524217868124278	5297.3817557075035
-1508.631893922484	0.15332244165530837	0.18385334650005594	0.34311169315323287	0.7774220330172437	0.8446131681784514	0.0	1.4973760424782985	5583.272802990871
-1511.243941620651	0.26069256540162206	0.08833650134183903	0.34887136565248666	0.7698994532396221	0.8021514763588644	0.0	1.5105365395585935	5527.2469885644405
