log_likelihood	mu	sigma	rho	w	misid	theta
-1119.5626763081755	2.2475726545888106	1.049527144364204	0.0	0.00010000000000000002	0.0006372836894612862	12765.726813590309
-1119.5626779652196	2.2475641117220495	1.049494401598904	0.0	0.0001	0.0006374648521058081	12765.726813590309
-1133.491955759469	2.24537971080408	1.0538654371758152	0.0	0.07788623995878258	0.0006623331204929725	12765.726813590309
-1119.5626796637994	2.2475805926769157	1.0495491281340614	0.0	0.00010000000000000002	0.0006368659357834106	12765.726813590309
-1119.5626765381307	2.247573262186815	1.0495148706445503	0.0	0.0001	0.0006374967888207977	12765.726813590309
-1119.5626773167753	2.247571758436675	1.0495118188064496	0.0	0.0001	0.000637142228705499	12765.726813590309
inf	10.0	0.01	0.0	0.6870460658993606	0.03211665558412803	12765.726813590309
-1119.562687855222	2.2475351264572114	1.0495114884966614	0.0	0.0001	0.0006366762626456371	12765.726813590309
-1119.5626761798712	2.247575451789292	1.049522909765747	0.0	0.0001	0.0006374030413088088	12765.726813590309
-1119.5626761720034	2.2475775262827287	1.0495305222930047	0.0	0.00010000000000000002	0.0006373861261241246	12765.726813590309
