log_likelihood	mu	sigma	rho	w	misid	theta
-1115.1860659798726	2.276427650689099	1.0715117737571365	0.0	0.0001	0.000511304736375569	12898.367463468994
-1115.1860692432065	2.276470056264314	1.0715584468995063	0.0	0.00010000000000000002	0.0005111958535544698	12898.367463468994
-1115.1860844434811	2.2764763030941073	1.0714875213961421	0.0	0.0001	0.0005112083346001358	12898.367463468994
-1115.1860683151647	2.276449067419726	1.0715035001281041	0.0	0.0001	0.0005110543674171692	12898.367463468994
-1115.1860654438894	2.2764271077364855	1.0715092977647023	0.0	0.00010000000000000002	0.0005111627945009807	12898.367463468994
-1115.1860682691886	2.2764262716632384	1.071523186135092	0.0	0.0001	0.0005114917436851845	12898.367463468994
inf	10.0	0.01	0.0	0.31926480387051986	0.07280665919153785	12898.367463468994
-1115.1860652308037	2.2764328095203163	1.071520141786426	0.0	0.00010000000000000002	0.0005111105427739829	12898.367463468994
-1115.1860762653282	2.2764480770493596	1.071515073942354	0.0	0.0001	0.0005119354308579611	12898.367463468994
-1115.1860652871571	2.276432601776034	1.0715218787582959	0.0	0.0001	0.0005111209088873827	12898.367463468994
