log_likelihood	mu	sigma	rho	w	misid	theta
-1019.8723308421637	1.6254591157065337	2.4751928297504895	0.0	0.04842050366151475	0.0028304014898353964	13779.103535694336
-1019.8722782797379	1.6254582547122935	2.4749537545505946	0.0	0.04826368172506834	0.00282708598912434	13779.103535694336
-1019.87155125817	1.625028860205679	2.4736673781956022	0.0	0.048270033911918996	0.0028322297875409156	13779.103535694336
-1019.8735865183111	1.6250777241486458	2.473705136412934	0.0	0.04717587315835613	0.0028258221585927314	13779.103535694336
-1019.8762104054983	1.6249258789839798	2.4738246438912737	0.0	0.0498221778171848	0.002823284255053006	13779.103535694336
-1019.8733320075589	1.6249939703593368	2.4736781892257502	0.0	0.0486028831582532	0.0028632819808354177	13779.103535694336
-1019.8723832562468	1.6251251758677665	2.4736426932228786	0.0	0.047608468065221	0.002820527960367376	13779.103535694336
-1019.8722732976407	1.6254639010640133	2.474977972108589	0.0	0.04826216289919004	0.0028287408913037653	13779.103535694336
-1019.8719881247094	1.6250668688549348	2.4734323703420715	0.0	0.04867312942542832	0.002837261770472583	13779.103535694336
-1019.8720733000443	1.625132810188362	2.4734045974383663	0.0	0.048566640120923155	0.0028456983966119315	13779.103535694336
