log_likelihood	shape	scale	theta
-1541.354785691811	0.2692234904820969	118.20363569797539	14297.113704180227
-1541.3547851512099	0.2692284860603259	118.19703502302002	14297.113704180227
-1541.3547853134917	0.26922792465805745	118.19643656799846	14297.113704180227
-1541.354787781916	0.26921752770733304	118.20992006783298	14297.113704180227
-1541.3547851659835	0.2692287837351968	118.19633318813949	14297.113704180227
-1541.3547857469503	0.2692330945825651	118.19074666567482	14297.113704180227
-1541.354785359163	0.2692253929913682	118.20128149958458	14297.113704180227
-1541.3547851687126	0.26922905804581493	118.19614021632378	14297.113704180227
-1541.3547854129242	0.26923028623028084	118.19356605147405	14297.113704180227
-1541.3547851552294	0.2692280742486528	118.19772264337678	14297.113704180227
