log_likelihood	shape	scale	theta
-1549.6000456605288	0.26203333566868114	124.61951723466588	14135.337482869312
-1549.6000455299986	0.2620307032568333	124.62344323214731	14135.337482869312
-1549.6000455424182	0.2620318223097499	124.62175957796929	14135.337482869312
-1549.6000458521364	0.2620344912826931	124.61759388021761	14135.337482869312
-1549.6000455267122	0.2620309918049504	124.62295754408217	14135.337482869312
-1549.6000456056818	0.2620297400057553	124.62395551490796	14135.337482869312
-1549.6000455280387	0.2620310858333444	124.62294523730232	14135.337482869312
-1549.6000455875126	0.26203261040154324	124.62065155677716	14135.337482869312
-1549.6000455360536	0.2620303838511426	124.6237858345189	14135.337482869312
-1549.600045596941	0.26203245511973083	124.62051721131174	14135.337482869312
