log_likelihood	shape	scale	theta
-1531.1269727829156	0.2665993140728637	124.02631539710599	14659.772664292052
-1531.1269728879938	0.26660186779767703	124.0226299966527	14659.772664292052
-1531.1269727784743	0.2665998635316215	124.0255130145965	14659.772664292052
-1531.1269727785389	0.2665998487252827	124.02550978422163	14659.772664292052
-1531.1269727817526	0.2665993541665338	124.02620613527061	14659.772664292052
-1531.1269729141045	0.2665996228157614	124.0270406620042	14659.772664292052
-1531.1269727831273	0.2665999645732279	124.02560699437596	14659.772664292052
-1531.1269727812873	0.2665998782979249	124.02568607171078	14659.772664292052
-1531.1269728958373	0.26659836893966493	124.02836636560403	14659.772664292052
-1531.126973089822	0.2666033751347396	124.02132258576285	14659.772664292052
