log_likelihood	shape	scale	theta
-1440.4686482994098	0.25673246783003145	128.3981791201585	14153.343612820529
-1440.4686476824722	0.2567262289986613	128.40902088472336	14153.343612820529
-1440.4686479196266	0.25672851189164425	128.4029901948758	14153.343612820529
-1440.4686475881892	0.2567273410805397	128.40688838035342	14153.343612820529
-1440.4686475790945	0.2567274790627703	128.40630862395864	14153.343612820529
-1440.4686479555094	0.2567237470372354	128.41237928658543	14153.343612820529
-1440.4686475790204	0.2567273458895842	128.40655816702247	14153.343612820529
-1440.4686475995723	0.2567283745805205	128.40513623788758	14153.343612820529
-1440.468657753051	0.2567156038613668	128.43202992988307	14153.343612820529
-1440.4686476002662	0.25672795680457783	128.40611737492847	14153.343612820529
