log_likelihood	shape	scale	theta
-1587.202601388437	0.2591486899648313	131.72286420628143	14608.346746624276
-1587.2026013879308	0.25914861148399954	131.72291053929732	14608.346746624276
-1587.202603899487	0.25913956236745855	131.73870446202397	14608.346746624276
-1587.2026014179096	0.259147336086673	131.72491390096033	14608.346746624276
-1587.2026014515209	0.2591473810335923	131.7254087861294	14608.346746624276
-1587.2026013883105	0.2591483763138002	131.72342602180328	14608.346746624276
-1587.2026115309764	0.25916753470643195	131.69169237523246	14608.346746624276
-1587.2026023471535	0.2591450851889392	131.7251587387007	14608.346746624276
-1587.2026014036023	0.2591487544709378	131.72317913414145	14608.346746624276
-1587.2026013887967	0.2591483084603618	131.72327855555412	14608.346746624276
