log_likelihood	shape	scale	theta
-1575.676312530405	0.2744533738800389	111.02410603418893	14096.413616435768
-1575.6763125231707	0.27445308888700753	111.02439536341737	14096.413616435768
-1575.6763125865073	0.2744508630996192	111.02702482873589	14096.413616435768
-1575.6763125230414	0.2744526673576673	111.02472734884867	14096.413616435768
-1575.6763126016122	0.2744545616336615	111.02294522194354	14096.413616435768
-1575.6763125179682	0.27445272107411955	111.02486055942585	14096.413616435768
-1575.6763125562275	0.2744513548413754	111.02655245607633	14096.413616435768
-1575.676312518156	0.2744527594353655	111.02482237560179	14096.413616435768
-1575.6763125177067	0.27445261682116	111.02498054024913	14096.413616435768
-1575.6763199430752	0.27444522989760783	111.04024127641445	14096.413616435768
