log_likelihood	shape	scale	theta
-1499.8385358376747	0.2767251592703599	110.13003365413381	14725.447070337288
-1499.8385358302553	0.27672518910302196	110.13024713142931	14725.447070337288
-1499.8385358337941	0.2767256663432511	110.1298515997972	14725.447070337288
-1499.83853646544	0.2767305237214753	110.12376123021072	14725.447070337288
-1499.838535859817	0.2767253817315093	110.13051633759075	14725.447070337288
-1499.8385358787875	0.2767263710393323	110.12849276815635	14725.447070337288
-1499.8385358791954	0.2767238767232275	110.13154426945187	14725.447070337288
-1499.838536449798	0.27672239098360507	110.1314447679633	14725.447070337288
-1499.8385358295943	0.27672537868824154	110.13002708990324	14725.447070337288
-1499.838535846543	0.27672621729559643	110.12902892704805	14725.447070337288
