log_likelihood	shape	scale	misid	theta
-1481.0639481969197	0.2738666145307504	111.03359895302863	0.001697190655846978	13769.652913069076
-1481.0639493164358	0.27386329482707483	111.03958801948583	0.001696779475199987	13769.652913069076
-1481.0639479809436	0.27386596893852	111.03505323384813	0.0016970423085008396	13769.652913069076
-1481.0639491341758	0.2738600463946152	111.04256026905045	0.0016971908048309828	13769.652913069076
-1481.0639625467766	0.27385281469076445	111.05505018380619	0.0016962175214726117	13769.652913069076
-1481.0639482680288	0.2738631984913364	111.03851925920259	0.001696981223365996	13769.652913069076
-1481.0639508780073	0.27385791897791406	111.04340314881593	0.0016966917239048264	13769.652913069076
-1481.063949179545	0.2738680047379728	111.0311175314488	0.0016968048021923368	13769.652913069076
-1481.0639491274355	0.2738595486951869	111.04331088414948	0.0016970823630590287	13769.652913069076
-1481.064009299358	0.2738163974835618	111.09787772663398	0.0016968239486332664	13769.652913069076
