log_likelihood	shape	scale	misid	theta
-1447.0876686416777	0.28101043731707276	104.92399273240697	0.0014803418307265152	14376.775534906858
-1447.0876188671705	0.28104893493037997	104.87896265866773	0.001481854841353189	14376.775534906858
-1447.0876185036977	0.28104783346463114	104.87918605633762	0.0014820429021669003	14376.775534906858
-1447.087617503479	0.28104152949878713	104.88662785005438	0.001481843556040288	14376.775534906858
-1447.0876175442725	0.2810386150345276	104.88971603831762	0.0014818581492246307	14376.775534906858
-1447.0877606488843	0.2809734182143531	104.97362787487509	0.0014822049177599553	14376.775534906858
-1447.0876187273036	0.2810368627663025	104.89120609091339	0.0014822480835683866	14376.775534906858
-1447.0876175276383	0.28104042744715524	104.88873856890086	0.0014819823876592766	14376.775534906858
-1447.0876181965486	0.2810397776190228	104.88812721049375	0.0014816864608995306	14376.775534906858
-1447.0876173526954	0.2810411810099641	104.88655513684941	0.0014819339402003058	14376.775534906858
