log_likelihood	shape	scale	misid	theta
-1460.7722252387566	0.27147018091469616	116.33691671921436	0.001876425892182268	14078.498362291548
-1460.7712827023588	0.271645162360275	116.08498713326608	0.0018763452093423145	14078.498362291548
-1460.7712811881152	0.2716533145384847	116.07438329144466	0.0018763874279694394	14078.498362291548
-1460.7712813273029	0.27165199875310614	116.07699240272703	0.0018764405610970263	14078.498362291548
-1460.7712821799923	0.271650347047083	116.07778314663315	0.0018766395276458845	14078.498362291548
-1460.7712834740416	0.27165839921483803	116.07214387792192	0.0018761614759478283	14078.498362291548
-1460.7712812114662	0.2716522387256259	116.07584409134357	0.001876380995805854	14078.498362291548
-1460.771282279298	0.2716488024272338	116.08037770151677	0.001876101441174011	14078.498362291548
-1460.7712876168912	0.2716559442704503	116.07900784211195	0.0018765421087132094	14078.498362291548
-1460.771299144375	0.27165029757102327	116.09008932836564	0.001876846755584452	14078.498362291548
