log_likelihood	shape	scale	misid	theta
-1506.5976835088877	0.2797306559767819	103.17365890094469	0.0018330382354102852	13429.093545625146
-1506.597683930159	0.2797310092539374	103.17166897475155	0.0018329461472533408	13429.093545625146
-1506.5977271844033	0.27974171991940106	103.14744992306937	0.001834027888734275	13429.093545625146
-1506.5976927982952	0.2797112812782306	103.19532511084938	0.0018334264498356474	13429.093545625146
-1506.5976846570552	0.2797269170518509	103.17463890216958	0.001833255855589323	13429.093545625146
-1506.5976840648798	0.2797260824024845	103.17947375964913	0.0018331121670030882	13429.093545625146
-1506.5976838112592	0.2797297832896864	103.17338023580535	0.0018329212768920754	13429.093545625146
-1506.5976835557458	0.27972775380988363	103.1757686831301	0.0018331648486861912	13429.093545625146
-1506.5976928670357	0.27974888113865193	103.1566291003065	0.0018335315442859494	13429.093545625146
-1506.5977242654085	0.27971391380143873	103.20254000480278	0.0018341560398406123	13429.093545625146
