log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	m12	m21	theta
-10579.281163601503	0.03489527324403554	0.31314599278476074	0.27433488060806943	0.7898875042417126	0.8684586181505455	0.0	0.09225273468257329	5642.864041966356
-10582.726224639777	0.20106848182897405	0.15955075172844457	0.28413757127031175	0.7945390269748266	0.8573138332922879	0.0	0.09311794374731112	5569.397275094378
-10585.305990753697	0.24231605883165208	0.12313451860114606	0.29053223009205925	0.7967230465927734	0.856231640712494	0.0	0.09261189785721158	5530.586710997377
-10592.145846806581	0.30457929480916734	0.0691269209396407	0.3004861906288233	0.8017955897996759	0.8497711870985011	0.0	0.09259496394513549	5460.458542911399
-10579.88377196004	0.11729624338985246	0.23611700211838138	0.2791777027839336	0.7901662756354194	0.8624147788383136	0.0	0.09266654852503071	5616.608979672792
-10591.909608075555	0.3031500458226626	0.07184154409632876	0.30291986842873836	0.8018972202064901	0.8595754173060737	0.0	0.0925585714163713	5447.69790081023
-10579.739773399766	0.10596634436919253	0.24658535658694838	0.2759839823589435	0.7927154397867643	0.864693123854297	0.0	0.09291109734945202	5618.909885355858
-10579.770501438115	0.06510092593975265	0.28436459468425007	0.2809777052074724	0.7809691685912266	0.859721229257602	0.0	0.09291449661162632	5651.096382578435
-10581.537953662957	0.17357761293587165	0.1860277701669382	0.28734141763327903	0.7864913843466016	0.8631193230349434	0.0	0.09371179112751733	5580.596229302377
-10584.358969713867	0.22950359431977488	0.13471225308858575	0.289277665610062	0.7944771557749006	0.859180246409434	0.0	0.09262914623476672	5540.788831596102
