log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	m12	m21	theta
-10564.534927269411	0.11960883112399992	0.23834491817764297	0.2914911513712779	0.8154476477488612	0.9040332802731875	0.0	0.08927280782061099	5516.301868287886
-10567.195525918061	0.21535868944394404	0.1530073668735461	0.30358656766604936	0.8108265023996903	0.9008921305364419	0.0	0.09193047023395798	5467.735935637744
-10570.872029316492	0.2847972698657088	0.08647503490371358	0.30935574260887544	0.8153607262301293	0.8907954496980206	0.0	0.0903511897955848	5432.603973483826
-10568.25892247715	0.2424430855019238	0.12571497551247734	0.30331909736073437	0.8118157482486198	0.8895038177423018	0.0	0.09126453938857851	5471.365499426261
-10567.310355150874	0.17513670771314124	0.18116114173953182	0.2788218603111962	0.8256049591887539	0.8837356629982616	0.0	0.09090756038203988	5539.748052037967
-10564.837574467248	0.14155264329386108	0.21893964185621576	0.29737374030241676	0.8048044682269189	0.8961192915025467	0.0	0.09108020752039962	5524.285498687712
-10567.170671750035	0.10813465657785878	0.2540174262705382	0.30914121329379296	0.7828359236735145	0.907047523540683	0.0	0.0917550781502104	5527.505223563961
-10563.750092892642	0.08980722293255057	0.2664369899160203	0.29211490310071203	0.8080581632949431	0.8975402305251924	0.0	0.0903284071510353	5543.0386643171905
-10566.065599590122	0.19247908730147884	0.16921467478376323	0.2966951883399735	0.8124392180534513	0.8914737227284526	0.0	0.09008751362478859	5506.333780985253
-10564.279249891704	0.12278467891965222	0.2350762616333264	0.2923600473498977	0.8128423639443266	0.896549238666449	0.0	0.09007665126529615	5528.428941976972
