log_likelihood	mu	sigma	rho	w	theta
-9438.121936428637	1.4435742448826598	2.3180927954495476	0.0	0.02361723205910425	13884.36258721061
-9438.121933224591	1.4435977313322765	2.31816200817249	0.0	0.023624255053836862	13884.36258721061
-9438.121933297127	1.4435937546016762	2.3181779418590764	0.0	0.023627218932193356	13884.36258721061
-9438.121933803732	1.443609384300719	2.318171686187375	0.0	0.023623282452858923	13884.36258721061
-9438.12193483996	1.443594768832535	2.3181615786534504	0.0	0.02360945387781288	13884.36258721061
-9438.121933138942	1.4435909373836127	2.3181645161092304	0.0	0.02362382865816053	13884.36258721061
-9438.121933167145	1.443589894389624	2.3181600911585325	0.0	0.02362288653554385	13884.36258721061
-9438.121944869781	1.4436049607099941	2.3182408424032426	0.0	0.023591183367442148	13884.36258721061
-9438.121939292729	1.4436007130652428	2.318169392920732	0.0	0.023596715274869277	13884.36258721061
-9438.121939301585	1.443546398154022	2.318114978720494	0.0	0.023615481382665962	13884.36258721061
