log_likelihood	mu	sigma	rho	w	theta
-9495.84076945882	1.4531609521204103	2.282148622209468	0.0	0.026690521392598556	13902.719900715549
-9495.840769461001	1.4531620989239062	2.2821518707625255	0.0	0.026692316962201618	13902.719900715549
-9495.840771575437	1.4531639752838448	2.282146829001175	0.0	0.026707255637921288	13902.719900715549
-9495.8407695615	1.4531609685439004	2.2821527124578798	0.0	0.026694895958560165	13902.719900715549
-9495.840770676647	1.4531768179290263	2.2821929960989387	0.0	0.026693391357509474	13902.719900715549
-9495.840769790893	1.453173157438801	2.282149781670419	0.0	0.0266929774553965	13902.719900715549
-9495.84076954651	1.453166871781989	2.282144512546264	0.0	0.026690162978819633	13902.719900715549
-9495.840769525583	1.4531601522785003	2.2821607487613784	0.0	0.026689205334592632	13902.719900715549
-9495.840771888805	1.4531808617276143	2.282096966115397	0.0	0.026688951250357345	13902.719900715549
-9495.840769694994	1.4531629770227268	2.282153455413448	0.0	0.02669662428757297	13902.719900715549
