log_likelihood	mu	sigma	rho	w	theta
-9529.523441546951	1.4365066516135498	2.2401419583181723	0.0	0.043293550410261415	13967.587172447682
-9529.523437772921	1.4365244237650916	2.2402179772274335	0.0	0.043283376434570434	13967.587172447682
-9529.523440003333	1.436520414789573	2.2402190047663493	0.0	0.043303576596045876	13967.587172447682
-9529.52343776259	1.4365236697012362	2.2402187071421547	0.0	0.043284755166211934	13967.587172447682
-9529.523437776106	1.4365224602460722	2.240221039813826	0.0	0.04328590286765225	13967.587172447682
-9529.523437940348	1.4365204407401007	2.2402261650705118	0.0	0.04328930501277641	13967.587172447682
-9529.523438101498	1.436531473743574	2.240221763323105	0.0	0.043289257075427724	13967.587172447682
-9529.523437776064	1.4365229422728385	2.2402157520766295	0.0	0.043283022391888026	13967.587172447682
-9529.523438301774	1.4365224527936777	2.2402242283778584	0.0	0.04329374352319144	13967.587172447682
-9529.523438953978	1.4365142131255324	2.240212441156172	0.0	0.04329764713086777	13967.587172447682
