log_likelihood	mu	sigma	rho	w	theta
-9475.692512436173	1.4420384434103388	2.2439452015664716	0.0	0.036345185135624965	14134.59659237416
-9475.692511910762	1.442045273188371	2.243936776318932	0.0	0.036352786517324716	14134.59659237416
-9475.692511981102	1.4420439259384656	2.2439413038587257	0.0	0.0363498454794614	14134.59659237416
-9475.692511959842	1.442047046522078	2.2439279910765286	0.0	0.036351612620187664	14134.59659237416
-9475.692511993166	1.4420439748282632	2.243937606059545	0.0	0.036356533035505144	14134.59659237416
-9475.692512176307	1.4420560121318606	2.243939268598835	0.0	0.03635256491287517	14134.59659237416
-9475.692512069858	1.4420460271164686	2.2439353247148235	0.0	0.0363474619524947	14134.59659237416
-9475.69251203486	1.4420427007165093	2.2439455425394654	0.0	0.036349678088132775	14134.59659237416
-9475.692515586077	1.4420471393293008	2.243932769094222	0.0	0.036327295765799655	14134.59659237416
-9475.692511912059	1.4420454347058216	2.24393740367774	0.0	0.03635313985655083	14134.59659237416
