log_likelihood	shape	scale	misid	theta
-331.51865104437707	0.2443720271001578	158.163662070861	0.0019979652556627796	13886.840790892267
-331.5186557469456	0.24435927661012466	158.19115799235396	0.0019985531272582848	13886.840790892267
-331.5186524256885	0.24436354839653396	158.1830500233649	0.0019973665943938627	13886.840790892267
-331.51865135335134	0.24437530663430293	158.15507096126478	0.001998205608933869	13886.840790892267
-331.5186556530217	0.24437247050229105	158.15583724405934	0.00199642196711323	13886.840790892267
-331.51865173629733	0.2443701879331854	158.16532480709785	0.001998179275604529	13886.840790892267
-331.5186521821992	0.24436526732984226	158.17867556917258	0.0019972052156117014	13886.840790892267
-331.5186508610534	0.24437396613262727	158.15973833450974	0.001997669348870342	13886.840790892267
-331.51865175768955	0.2443786233352984	158.15148610671832	0.001998268522265507	13886.840790892267
-331.518651594983	0.2443810358927918	158.14221807564044	0.0019978982292479346	13886.840790892267
