log_likelihood	shape	scale	misid	theta
-315.47638318451436	0.27888592401670664	108.6574017709478	0.0014116805872167635	14835.42323984784
-315.4764329984577	0.27882929652520244	108.71853426340532	0.0014078841553759249	14835.42323984784
-315.4764051546092	0.2788394960573912	108.72444565782803	0.0014088318107941082	14835.42323984784
-315.47637993350975	0.2788623901266086	108.69144502235845	0.0014119844145335468	14835.42323984784
-315.47637944179917	0.2788700352406722	108.6798975656502	0.0014111446946915216	14835.42323984784
-315.4763793864281	0.27887121999104664	108.68175263938015	0.0014112263844122406	14835.42323984784
-315.47637890308704	0.27887175313518586	108.6785727766071	0.0014113965805765988	14835.42323984784
-315.47638145585125	0.27886857596195075	108.68500172295359	0.0014127399751316244	14835.42323984784
-315.47637868684114	0.2788705263289829	108.68058797333673	0.0014116660706601182	14835.42323984784
-315.4763881977777	0.27889148070740344	108.64917838026834	0.0014110825128498916	14835.42323984784
